key	page	prod_on	value	matrix_state	verdict	owner	patch_source	apply_sites	revert_sites	patch_bytes	cfg_field	n_consumers	target_vas
武器点数几率_攻速_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1000	0	0x76097e
武器点数几率_道术_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xfb8	0	0x760959
武器点数几率_魔法_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0xf70	0	0x760934
武器绿毒	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	7	0x7ac	0	0x76e2bc
死亡触发	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x77c	0	0x6c09b5
毫秒级cd记录	眼神2(第2页)	0	0	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x538	2	
永久属性	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	12	12	107	?	0	0x73d9cf 0x73d9d7 0x73d9e0 0x73d9e9 0x73d9f2 0x73d9fb 0x73da04 0x73da16 0x73da1f 0x73da28 0x73da31 0x73da3a
永久攻速	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	11	0x110	0	0x73d9a0
法师群毒	盘古2	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x7bc	0	0x76e1a9
法道合击	盘古3	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x818	0	
法道合击_数值1	盘古3	0	""	LABEL_ONLY	PARAM_OF_PATCHED	法道合击	-	0	0	0	0xb88	0	
法道合击_数值2	盘古3	0	""	LABEL_ONLY	PARAM_OF_PATCHED	法道合击	-	0	0	0	0xba0	0	
法道合击_数值3	盘古3	0	""	LABEL_ONLY	PARAM_OF_PATCHED	法道合击	-	0	0	0	0xbb8	0	
法道合击_数值4	盘古3	0	""	LABEL_ONLY	PARAM_OF_PATCHED	法道合击	-	0	0	0	0xbd0	0	
法道合击_数值5	盘古3	0	""	LABEL_ONLY	PARAM_OF_PATCHED	法道合击	-	0	0	0	0xbe8	0	
激光命中概率	配置2	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x4b4	0	0x76ea14
激光电影可换主属性	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	14	0x4ac	0	0x76e9b5
激光范围及系数	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x4b0	0	0x76ea07
火墙_时间	盘古2	1	120	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8f8	0	
火墙不吸血	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x1a4	2	
火墙切割	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x698	1	
火墙固定增伤	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x680	0	
火墙设置时间上限	盘古2	1	1	SCRIPT_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x7d8	0	0x7706b6
火球主属性切换	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	14	0x4b8	0	0x76e3e6
火球自定义范围	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	9	0x4bc	0	0x76e425
火符切割	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x694	1	
火符固定增伤	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x684	0	
火雨主属切换	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	14	0x4d0	0	0x76f365
烈火切割	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x690	1	
烈火剑法	盘古2	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	2	0	5	0x7f8	0	0x76b0ec 0x77231d
烈火剑法_A值	盘古2	1	"4"	IMPLEMENTED	PARAM_OF_PATCHED	烈火剑法	-	0	0	0	0xa08	0	
烈火剑法_B值	盘古2	1	"3"	IMPLEMENTED	PARAM_OF_PATCHED	烈火剑法	-	0	0	0	0xa80	0	
烈火固定增伤	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x678	0	
爆裂火焰可换主属性	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	14	0x4a0	0	0x76f23b
爆裂火焰范围及系数	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	7	0x4a4	0	0x76f26b
物功带毒	盘古2	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	7	0x7b8	0	0x76e2bc
特殊宝宝	配置1	0	0	SCRIPT_ONLY	NATIVE_GAP		label-atlas	2	2	16	0x0e8	0	0x7671a2 0x76de42
特殊属性	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	2	2	12	?	0	0x6e41bd 0x73d951
盘古冰咆哮的范围	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x7e4	0	
盘古冰咆哮的范围_范围值	盘古2	1	3	LABEL_ONLY	PARAM_OF_PATCHED	盘古冰咆哮的范围	-	0	0	0	0x8d8	0	
盘古击杀触发	盘古1	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x118	0	
盘古地狱雷光范围	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x7e0	0	
盘古地狱雷光范围_范围值	盘古2	1	3	LABEL_ONLY	PARAM_OF_PATCHED	盘古地狱雷光范围	-	0	0	0	0x8d4	0	
盘古杀死宝宝	盘古1	1	1	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x120	1	
盘古流星火雨范围	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x7e8	0	
盘古流星火雨范围_范围值	盘古2	1	4	LABEL_ONLY	PARAM_OF_PATCHED	盘古流星火雨范围	-	0	0	0	0x8dc	0	
盘古爆裂火焰范围	盘古2	1	1	LABEL_ONLY	NATIVE_GAP		g11-immediate	0	0	0	0x7dc	0	
盘古爆裂火焰范围_范围值	盘古2	1	2	LABEL_ONLY	PARAM_OF_PATCHED	盘古爆裂火焰范围	-	0	0	0	0x8d0	0	
盘古物理攻击触发	盘古1	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x788	0	
盘古穿戴触发	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	10	0x784	0	0x6d8e35 0x6d8e4d
盘古给与封号	盘古1	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x854	0	
盘古高级属性	盘古1	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	68	0x840	0	0x6ba718 0x6ba72d 0x6f9ab0
盘古魔法攻击触发	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	14	0x78c	0	0x76dec0 0x76e1af
眼神特殊函数	眼神2(第2页)	1	1	IMPLEMENTED	PLUGIN_SIDE_ONLY		-	0	0	0	0x11c	1	
破复活	盘古2	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x7d0	0	
神兽_序号	盘古1	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xcf4	0	
神兽_数量	盘古1	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xcf8	0	
禁止交易地图	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	0x748	0	0x6c3f00
禁止发言不提示	配置2	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	18	0x4fc	0	0x6bb5cd 0x6bb625 0x6c94a9
禁止宝宝休息	盘古1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	7	0x74c	0	0x623a73
禁止装备自动绑定	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	7	0x0b8	0	0x784351
移动速度	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	7	0x094	0	0x73d983
穿人穿怪	盘古1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	2	2	13	0x744	0	0x6b30a3 0x768454
穿戴触发_plus	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x860	0	
等级禁言	盘古2	1	1	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x734	3	
红名K值	盘古3	0	""	IMPLEMENTED	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xcc0	0	
红毒_A	配置2	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x918	0	
红毒_B	配置2	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x91c	0	
绿毒_A	配置2	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x910	0	
绿毒_B	配置2	1	10	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x914	0	
绿毒_最低	配置2	1	5	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x920	0	
群毒	配置2	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x4e4	0	
群毒值	配置2	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x4e8	0	
脚本控制人物爆率	盘古3	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	22	0x824	0	0x6df2cc 0x73d578 0x73dac5
脚本控制头发外显	盘古1	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x7a8	0	0x740f85
自定义伤害	眼神2(第1页)	0	0	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x510	1	
自定义伤害_plus	眼神2(第2页)	0	0	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x524	1	
自定义元素	眼神2(第1页)	1	1	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x664	1	
自定义召唤怪物a	扩展/技能相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6d4	1	
英雄修装备a	扩展/物品相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6c4	1	
英雄倍攻和暴击	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	7	0x0e0	0	0x76c816
英雄千分比免伤	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x108	1	
英雄攻速移速	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	9	0x0d4	0	0x73da43
英雄施法速度	配置1	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x0ec	0	0x68dd60
英雄物理攻击触发	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x52c	2	
英雄穿戴触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	13	0x0d0	0	0x75ea31 0x75f08c
英雄自动开盾	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x668	0	
英雄读取极品	眼神2(第1页)	0	0	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x514	1	
英雄野蛮	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x128	2	
英雄魔法攻击触发	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x534	1	
获取沙城归属	眼神2(第1页)	0	0	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x85c	1	
获取玩家对象函数	扩展/脚本相关	1	1	MISSING	NATIVE_GAP		label-atlas	4	4	177	0x98c	0	0x646f40 0x647d24 0x736b28 0x736ef8
行会显示	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	2	2	4	0x750	0	0x6c5bcb 0x6c5bf7
衣服属性几率_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x11e0	0	0x783ff2
衣服属性几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x10c0	0	0x783f66
衣服属性几率_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1198	0	0x783fcf
衣服属性几率_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1150	0	0x783fac
衣服属性几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1108	0	0x783f89
衣服最随机性_极品_值	盘古4	1	"80"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x11f8	0	0x7639f3
衣服最高点数_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x11b0	0	0x783fe6
衣服最高点数_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1090	0	0x783f5a
衣服最高点数_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1168	0	0x783fc3
衣服最高点数_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1120	0	0x783fa0
衣服最高点数_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x10d8	0	0x783f7d
衣服点数几率_准确_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x11c8	0	0x783fe1
衣服点数几率_攻击_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x10a8	0	0x783f55
衣服点数几率_攻速_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1180	0	0x783fbe
衣服点数几率_道术_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1138	0	0x783f9b
衣服点数几率_魔法_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x10f0	0	0x783f78
被击杀触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	5	?	0	0x766624
装备吸血	盘古3	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x820	0	0x76e2a3
装备多职业	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x844	0	
装备投保	扩展/物品相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6f4	1	
装备提升人物爆率	盘古3	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	6	0x82c	0	0x71fd37
装备提升人物爆率_A值	盘古3	1	"10"	LABEL_ONLY	PARAM_OF_PATCHED	装备提升人物爆率	-	0	0	0	0xc78	0	
装备提升人物爆率_B值	盘古3	1	"10"	LABEL_ONLY	PARAM_OF_PATCHED	装备提升人物爆率	-	0	0	0	0xc90	0	
装备来源	配置1	1	1	SCRIPT_ONLY	NATIVE_GAP		label-atlas	2	2	10	0x0f4	0	0x6c8aaa 0x71fe90
装备转生穿戴判定a	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x66c	0	
角色多阵营	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x848	0	
设置玩家称号函数	盘古2	1	1	SCRIPT_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x838	0	
诱惑之光触发脚本a	眼神2(第1页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x670	0	
读取英雄装备	配置1	0	0	SCRIPT_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x0f0	0	0x6e04e7
踢玩家下线	盘古1	1	1	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x7a0	1	
逐日剑法	盘古2	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	2	0	8	0x7fc	0	0x76b13e 0x76b14c
逐日剑法_A值	盘古2	1	"6"	IMPLEMENTED	PARAM_OF_PATCHED	逐日剑法	-	0	0	0	0xa20	0	
逐日剑法_B值	盘古2	1	"3"	IMPLEMENTED	PARAM_OF_PATCHED	逐日剑法	-	0	0	0	0xa98	0	
道士合击系数	眼神2(第2页)	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x850	0	
道士合击系数_数值1	眼神2(第2页)	0	""	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xc00	0	
道士合击系数_数值2	眼神2(第2页)	0	""	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xc18	0	
道士合击系数_数值3	眼神2(第2页)	0	""	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xc30	0	
道士合击系数_数值4	眼神2(第2页)	0	""	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xc48	0	
道士合击系数_数值5	眼神2(第2页)	0	""	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xc60	0	
邮件防刷	盘古1	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x73c	0	0x6e7810
野蛮等级	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	7	0x4ec	0	0x768f67
野蛮麻痹	盘古2	1	1	SCRIPT_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x7d4	0	0x6bc9e2
防0拆分	盘古1	1	1	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x740	0	0x6e0ff3
限制摆摊	盘古1	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x778	0	
限制摆摊_右x	盘古1	1	340	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x904	0	
限制摆摊_右y	盘古1	1	340	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x908	0	
限制摆摊_左x	盘古1	1	280	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x8fc	0	
限制摆摊_左y	盘古1	1	328	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x900	0	
限制摆摊_等级	盘古1	1	20	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x90c	0	
随机极品	盘古4	1	1	IMPLEMENTED	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x834	0	
随身仓库	盘古1	1	1	LABEL_ONLY	NATIVE_GAP		label-atlas	3	3	57	0x71c	0	0x6c2ab9 0x6c2dc9 0x6e087c
雷电主属性切换	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	14	0x4c0	0	0x76ea8a
雷电带毒	盘古2	0	0	LABEL_ONLY	NATIVE_GAP		label-atlas	1	1	7	0x7c0	0	0x76eb1d
雷电术切割	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x68c	1	
雷电术自定义伤害	扩展/技能相关	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6ac	0	
雷电术自定义伤害_系数A	扩展/技能相关	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6b0	0	
雷电术自定义伤害_系数B	扩展/技能相关	0	0	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x6b4	0	
雷电自定义范围	配置2	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	9	0x4c4	0	0x76eb06
非红名K值	盘古3	0	""	IMPLEMENTED	EQUIVALENT_BY_ABSENCE		-	0	0	0	0xca8	0	
项链属性几率_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x14e0	0	0x76186e
项链属性几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x13c0	0	0x7617e2
项链属性几率_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1498	0	0x76184b
项链属性几率_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1450	0	0x761828
项链属性几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1408	0	0x761805
项链最随机性_极品_值	盘古4	1	"80"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x14f8	0	0x7617a3
项链最高点数_准确_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x14b0	0	0x761862
项链最高点数_攻击_值	盘古4	1	"3"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1390	0	0x7617d6
项链最高点数_攻速_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1468	0	0x76183f
项链最高点数_道术_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1420	0	0x76181c
项链最高点数_魔法_值	盘古4	1	"2"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x13d8	0	0x7617f9
项链点数几率_准确_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x14c8	0	0x76185d
项链点数几率_攻击_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x13a8	0	0x7617d1
项链点数几率_攻速_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1480	0	0x76183a
项链点数几率_道术_值	盘古4	1	"5"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x1438	0	0x761817
项链点数几率_魔法_值	盘古4	1	"10"	IMPLEMENTED	NATIVE_OK		extreme-map	0	0	0	0x13f0	0	0x7617f4
高级回收	眼神2(第2页)	1	1	SCRIPT_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x954	2	
高级物理攻击触发	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x528	2	
高级英雄倍功暴击	眼神2(第1页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x51c	1	
高级魔法攻击触发	眼神2(第2页)	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x530	1	
魔法攻击触发	配置1	0	0	IMPLEMENTED	NATIVE_OK		label-atlas	1	1	6	0x0b0	0	0x76de84
魔法盾修正	配置2	1	1	LABEL_ONLY	EQUIVALENT_BY_ABSENCE		-	0	0	0	0x4d4	0	
麻痹中不被麻痹a	扩展/技能相关	0	0	LABEL_ONLY	PLUGIN_SIDE_ONLY		-	0	0	0	0x6c0	2	
麻痹概率	配置1	0	0	SCRIPT_ONLY	NATIVE_GAP		label-atlas	1	1	5	0x0cc	0	0x76e2d2
