key	value	prod_on	page	page_src	widget	state	n_sites	behavior_files	api_members	patch_target_vas	dump_str_va	dump_xrefs
手镯点数几率_道术_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletPtsChance_Tao	0x76265b	0x102b119c	3
手镯点数几率_魔法_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	BraceletPtsChance_Mgc	0x762638	0x102b1154	3
技能等级突破	1	1	眼神2(第1页)	panel	toggle	LABEL_ONLY	7		IsLevelBreak		0x102b0210	2
技能等级突破_最大值	255	1	眼神2(第1页)	panel	value	LABEL_ONLY	7		IsLevelBreakMax;IsLevelBreakMaxEnabled		0x102b0a40	2
技能触发脚本	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	5		IsSkillTrigger		0x102b0298	2
投保报文	0	0	扩展/物品相关	fallback	toggle	LABEL_ONLY	5		IsInsuranceMsg;SendInsuranceMsg		0x102b016c	2
护身触发报文a	0	0	扩展/脚本相关	fallback	toggle	LABEL_ONLY	2		IsHolyShieldMsg		0x102b00b0	2
护身触发概率a	0	0	扩展/脚本相关	fallback	toggle	LABEL_ONLY	2		IsHolyShieldChance		0x102b00a0	2
指定地图编号摆摊	0	0	盘古1	catalog	toggle	LABEL_ONLY	7		IsMapStall	0x6e7930 0x6e7934 0x6e7c1c 0x6e7c5f	0x102b047c	2
挖矿触发	1	1	盘古1	panel	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsMineTrigger	0x6ec111	0x102b04fc	2
捡物触发	0	0	配置1	catalog	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.Wave2.cs;GameSvr/Plugins/YanshenTriggerDispatch.cs	IsPickupTrigger	0x6b770c	0x102afd24	2
摆摊地图	"3"	1	盘古1	panel	value	LABEL_ONLY	5		GetStallMapId;MapStallMap		0x102b0a6c	3
摆摊穿人	1	1	盘古1	catalog	toggle	LABEL_ONLY	7		IsStallPass;IsStallPassThrough	0x77931d	0x102b0354	2
攻击反伤	0	0	配置1	catalog	toggle	LABEL_ONLY	7		IsReflectEnabled	0x767bb4	0x102afd18	2
攻击吸血	0	0	眼神2(第2页)	panel	toggle	IMPLEMENTED	9	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs;GameSvr/Services/NativeType2StdItemSnapshotState.cs	IsLifeSteal		0x102b0314	2
攻击触发	0	0	配置1	catalog	toggle	IMPLEMENTED	8	GameSvr/Plugins/YanshenTriggerDispatch.Wave3.cs;GameSvr/Plugins/YanshenTriggerDispatch.cs	IsAttackTrigger	0x76e35d	0x102afd30	2
攻城修改	1	1	盘古2	panel	toggle	LABEL_ONLY	5		IsSiegeModify	0x65bc09 0x65be2c 0x65c3b1	0x102b059c	2
攻城修改_分钟	0	0	盘古2	panel	value	LABEL_ONLY	5		GetSiegeModMinute;IsSiegeModMinute		0x102b0a98	3
攻城修改_天数	3	1	盘古2	panel	value	LABEL_ONLY	5		GetSiegeModDay;IsSiegeModDay		0x102b0a78	3
攻城修改_小时	20	1	盘古2	panel	value	LABEL_ONLY	5		GetSiegeModHour;IsSiegeModHour		0x102b0a88	3
攻城时长_分钟	120	1	盘古2	panel	value	LABEL_ONLY	5		GetSiegeDuration;IsSiegeDuration		0x102b0aa8	3
攻杀剑术	1	1	盘古2	panel	toggle	IMPLEMENTED	8	GameSvr/Actors/TBaseObject.Attack.cs	IsThrusting	0x76b02d	0x102b0688	2
攻杀剑术_A值	"5"	1	盘古2	panel	value	IMPLEMENTED	3	GameSvr/Actors/TBaseObject.Attack.cs	ThrustingA		0x102b0808	3
攻沙脚本控制	0	0	盘古1	catalog	toggle	LABEL_ONLY	5		IsSiegeScript;IsSiegeScriptEnabled	0x65c6b6 0x65c76d 0x65c785	0x102b027c	2
新倍攻和暴击	1	1	配置1	catalog	toggle	IMPLEMENTED	8	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsNewMultCrit	0x76c88b	0x102afd98	2
新呼唤宝宝	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsNewCallPet;IsNewCallPetEnabled		0x102b0270	2
新怪物爆率	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	6		IsNewMonsterDrop;IsNewMonsterDropEnabled		0x102b1630	2
新穿戴触发	0	0	配置1	catalog	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsWearTrigger	0x75ea37 0x75f085	0x102afd4c	2
施毒术	1	1	盘古3	panel	toggle	SCRIPT_ONLY	11	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsPoisonEnabled	0x76e599	0x102b06ec	2
施毒术_公式值	"10"	1	盘古3	panel	value	LABEL_ONLY	2		PoisonFormulaVal		0x102b08d8	3
无极真气	1	1	盘古3	panel	toggle	LABEL_ONLY	6		IsZhenQi	0x74587c	0x102b06d0	2
无极真气_A值	"10"	1	盘古3	panel	value	LABEL_ONLY	2		ZhenQiA		0x102b08a8	3
无极真气_时间	"10"	1	盘古3	panel	value	LABEL_ONLY	2		ZhenQiTime		0x102b08b8	3
星耀专属切割a	0	0	扩展/技能相关	fallback	toggle	LABEL_ONLY	2		IsXyCutting		0x102b0130	2
星耀倍功与暴击a	0	0	扩展/脚本相关	fallback	toggle	LABEL_ONLY	2		IsXyPowerCrit		0x102b0140	2
星耀攻击反伤a	0	0	扩展/技能相关	fallback	toggle	LABEL_ONLY	2		IsXyReflect		0x102b0150	2
最大装备数量	""	0	盘古3	panel	value	IMPLEMENTED	4	GameSvr/Actors/TBaseObject.Base.cs;GameSvr/Players/TPlayObject.Message.cs	MaxEquipCount		0x102b09cc	3
格位刺杀免伤a	0	0	扩展/脚本相关	fallback	toggle	LABEL_ONLY	2		IsLuckBlock		0x102b00dc	2
概率格挡a	0	0	扩展/技能相关	fallback	toggle	LABEL_ONLY	2		IsProbBlock		0x102b00ec	2
武器属性几率_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponAttrChance_Acc	0x7609d8	0x102b0c44	3
武器属性几率_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponAttrChance_Atk	0x760920	0x102b0b24	3
武器属性几率_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponAttrChance_Spd	0x76098f	0x102b0bfc	3
武器属性几率_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponAttrChance_Tao	0x76096a	0x102b0bb4	3
武器属性几率_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponAttrChance_Mgc	0x760945	0x102b0b6c	3
武器最随机性_极品_值	"80"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponRandExtreme	0x7608f0	0x102b0c5c	3
武器最高点数_准确_值	"7"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponMaxPts_Acc	0x7609cc	0x102b0c14	3
武器最高点数_攻击_值	""	0	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponMaxPts_Atk	0x760914	0x102b0af4	3
武器最高点数_攻速_值	"7"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponMaxPts_Spd	0x760983	0x102b0bcc	3
武器最高点数_道术_值	"7"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponMaxPts_Tao	0x76095e	0x102b0b84	3
武器最高点数_魔法_值	"7"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponMaxPts_Mgc	0x760939	0x102b0b3c	3
武器点数几率_准确_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponPtsChance_Acc	0x7609c7	0x102b0c2c	3
武器点数几率_攻击_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponPtsChance_Atk	0x76090f	0x102b0b0c	3
武器点数几率_攻速_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponPtsChance_Spd	0x76097e	0x102b0be4	3
武器点数几率_道术_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponPtsChance_Tao	0x760959	0x102b0b9c	3
武器点数几率_魔法_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	WeaponPtsChance_Mgc	0x760934	0x102b0b54	3
武器绿毒	1	1	盘古2	panel	toggle	IMPLEMENTED	4	GameSvr/Plugins/YanshenPoisonKeys.cs	IsWeaponGreenPoison	0x76e2bc	0x102b054c	2
死亡触发	1	1	盘古1	panel	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsDeathTrigger	0x6c09b5	0x102b04a8	2
毫秒级cd记录	0	0	眼神2(第2页)	panel	toggle	SCRIPT_ONLY	13	GameSvr/Plugins/YanshenCommands.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	CDSet;IsCdMs;IsMsCDEnabled		0x102b1610	2
永久属性	0	0	配置1	catalog	toggle	LABEL_ONLY	4		IsPermAttr	0x73d9cf 0x73d9d7 0x73d9e0 0x73d9e9 0x73d9f2 0x73d9fb 0x73da04 0x73da16 0x73da1f 0x73da28 0x73da31 0x73da3a	0x102afcb8	2
永久攻速	0	0	配置1	catalog	toggle	LABEL_ONLY	4		IsPermSpeed	0x73d9a0	0x102afe64	2
法师群毒	0	0	盘古2	panel	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenPoisonKeys.cs	IsMageGroupPoison;IsMageGroupPoisonEnabled	0x76e1a9	0x102b0578	2
法道合击	1	1	盘古3	panel	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenComboTables.cs	IsWizTaoCombo;IsWizTaoComboEnabled	0x7d3298 0x7d329c	0x102b0700	2
法道合击_数值1	""	0	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WizTaoComboMultiplier;WizTaoComboV1		0x102b0938	3
法道合击_数值2	""	0	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WizTaoComboMultiplier;WizTaoComboV2		0x102b0948	3
法道合击_数值3	""	0	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WizTaoComboMultiplier;WizTaoComboV3		0x102b0958	3
法道合击_数值4	""	0	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WizTaoComboMultiplier;WizTaoComboV4		0x102b0968	3
法道合击_数值5	""	0	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Plugins/YanshenComboTables.cs	WizTaoComboMultiplier;WizTaoComboV5		0x102b0978	3
激光命中概率	0	0	配置2	catalog	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenLaserSlots.cs	IsLaserHitRate	0x76ea14	0x102aff30	2
激光电影可换主属性	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsLaserSwitch	0x76e9b5	0x102aff0c	2
激光范围及系数	0	0	配置2	catalog	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenLaserSlots.cs;GameSvr/Plugins/YanshenSkillPatches.cs	IsLaserRange	0x76ea07	0x102aff20	2
火墙_时间	120	1	盘古2	panel	value	LABEL_ONLY	6		FireWallTime		0x102b0ab8	3
火墙不吸血	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	4		IsFireWallNoVamp		0x102b0320	2
火墙切割	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsFireWallCutting		0x102b0204	2
火墙固定增伤	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsFireWallFixDmg		0x102b01a0	2
火墙设置时间上限	1	1	盘古2	panel	toggle	SCRIPT_ONLY	8	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsFireWallTimeLimit	0x7706b6	0x102b05cc	2
火球主属性切换	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsFireBallSwitch	0x76e3e6	0x102aff40	2
火球自定义范围	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsFireBallRange	0x76e425	0x102aff50	2
火符切割	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsAmuletCutting		0x102b01f8	2
火符固定增伤	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsAmuletFixDmg		0x102b01b0	2
火雨主属切换	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsFireRainSwitch	0x76f365	0x102affa0	2
烈火切割	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsFireCutting		0x102b01ec	2
烈火剑法	1	1	盘古2	panel	toggle	IMPLEMENTED	12	GameSvr/Actors/TBaseObject.Attack.cs	IsFireSword	0x76b0ec 0x76b0f0 0x77231d	0x102b06ac	2
烈火剑法_A值	"4"	1	盘古2	panel	value	IMPLEMENTED	4	GameSvr/Actors/TBaseObject.Attack.cs	FireSwordA		0x102b0838	3
烈火剑法_B值	"3"	1	盘古2	panel	value	IMPLEMENTED	4	GameSvr/Actors/TBaseObject.Attack.cs	FireSwordB		0x102b0888	3
烈火固定增伤	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsFireFixDmg		0x102b0180	2
爆裂火焰可换主属性	0	0	配置2	catalog	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsBlastFlameSwitch	0x76f23b	0x102afed0	2
爆裂火焰范围及系数	0	0	配置2	catalog	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenSkillPatches.cs	IsBlastFlameRange	0x76f26b	0x102afee4	2
物功带毒	0	0	盘古2	panel	toggle	IMPLEMENTED	4	GameSvr/Plugins/YanshenPoisonKeys.cs	IsPhysicalPoison	0x76e2bc	0x102b056c	2
特殊宝宝	0	0	配置1	catalog	toggle	SCRIPT_ONLY	12	GameSvr/Plugins/YanshenCommands.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	GetPetAttrByName;IsPetEnabled;KillPetByName;SummonPetRoyalty	0x7671a2 0x76de42	0x102afe14	2
特殊属性	0	0	配置1	catalog	toggle	LABEL_ONLY	7		IsPetSpecial	0x6e41bd 0x73d951	0x102afcc4	15
盘古冰咆哮的范围	1	1	盘古2	panel	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenSkillPatches.cs	IsPgIceStormRange	0x76f301	0x102b0608	2
盘古冰咆哮的范围_范围值	3	1	盘古2	panel	value	IMPLEMENTED	2	GameSvr/Plugins/YanshenSkillPatches.cs	PgIceStormRangeVal		0x102b07d8	3
盘古击杀触发	1	1	盘古1	panel	toggle	LABEL_ONLY	4		IsPgKillTrigger		0x102b004c	2
盘古地狱雷光范围	1	1	盘古2	panel	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenSkillPatches.cs	IsPgHellLightRange	0x76f643	0x102b05f4	2
盘古地狱雷光范围_范围值	3	1	盘古2	panel	value	IMPLEMENTED	2	GameSvr/Plugins/YanshenSkillPatches.cs	PgHellLightRangeVal		0x102b07c0	3
盘古杀死宝宝	1	1	盘古1	panel	toggle	LABEL_ONLY	4		IsPgKillPet		0x102b02f4	2
盘古流星火雨范围	1	1	盘古2	panel	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenSkillPatches.cs	IsPgFireRainRange	0x76f3be	0x102b061c	2
盘古流星火雨范围_范围值	4	1	盘古2	panel	value	IMPLEMENTED	2	GameSvr/Plugins/YanshenSkillPatches.cs	PgFireRainRangeVal		0x102b07f0	3
盘古爆裂火焰范围	1	1	盘古2	panel	toggle	IMPLEMENTED	6	GameSvr/Plugins/YanshenSkillPatches.cs	IsPgBlastFlameRange	0x76f271	0x102b05e0	2
盘古爆裂火焰范围_范围值	2	1	盘古2	panel	value	IMPLEMENTED	2	GameSvr/Plugins/YanshenSkillPatches.cs	PgBlastFlameRangeVal		0x102b07a8	3
盘古物理攻击触发	0	0	盘古1	panel	toggle	LABEL_ONLY	4		IsPgPhysTrigger		0x102b04d4	2
盘古穿戴触发	1	1	盘古1	panel	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsPgWearTrigger	0x6d8e35 0x6d8e4d	0x102b04c4	2
盘古给与封号	1	1	盘古1	panel	toggle	LABEL_ONLY	5		IsPgGiveTitle;IsPgGiveTitleEnabled		0x102b0304	2
盘古高级属性	1	1	盘古1	panel	toggle	LABEL_ONLY	5		IsPgAdvancedAttr;IsPgAdvancedAttrEnabled	0x6ba718 0x6ba72d 0x6f9ab0	0x102b0748	2
盘古魔法攻击触发	0	0	盘古1	panel	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.Wave3.cs;GameSvr/Plugins/YanshenTriggerDispatch.cs	IsPgMagicTrigger	0x76dec0 0x76e1af	0x102b04e8	2
眼神特殊函数	1	1	眼神2(第2页)	panel	toggle	IMPLEMENTED	38	GameSvr/Players/TPlayObject.NativeSocialSlots.cs;GameSvr/Plugins/YanshenCommands.cs;GameSvr/Plugins/YanshenPoisonKeys.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs;SystemModule/Grobal2.cs	DecExp;EnabledAll;GetBagWeight;GetGroupMemberCount;GetGroupMemberName;GetGroupMemberRoleId;IsYanshenSpecial;PetFollowAttack;Rename;SendDbMsg;SendDirectMessage;SendGroundMessage;SetPetAttr;SqlDbInsert;SqlDbSelect;SummonPet;TunnelGate		0x102b02e4	2
破复活	0	0	盘古2	panel	toggle	LABEL_ONLY	4		IsBreakRevival		0x102b05b8	2
神兽_序号	0	0	盘古1	panel	value	LABEL_ONLY	6		ShenShouIdx		0x102b0a18	3
神兽_数量	1	1	盘古1	panel	value	LABEL_ONLY	4		NativeSlaveCountImm8		0x102b0a24	2
禁止交易地图	1	1	盘古1	catalog	toggle	IMPLEMENTED	8	GameSvr/Players/TPlayObject.Operate.cs	IsBanTradeMap;IsTradeBanned	0x6c3f00	0x102b03d0	2
禁止发言不提示	1	1	配置2	catalog	toggle	LABEL_ONLY	7		IsBanChatSilent;ShouldBanChatSilent	0x6bb5cd 0x6bb625 0x6c94a9	0x102b0010	2
禁止宝宝休息	0	0	盘古1	catalog	toggle	IMPLEMENTED	9	GameSvr/Command/Commands/ChangeSalveStatusCommand.cs	IsPetNoRest;IsPetNoRestEnabled;IsPetRestBlocked	0x623a73	0x102b03e0	2
禁止装备自动绑定	0	0	配置1	catalog	toggle	LABEL_ONLY	6		IsBindDisabled	0x784351	0x102afd58	2
移动速度	0	0	配置1	catalog	toggle	LABEL_ONLY	6		IsMoveSpeed	0x73d983	0x102afd0c	2
穿人穿怪	0	0	盘古1	catalog	toggle	LABEL_ONLY	4		IsPassThrough	0x6b30a3 0x768454	0x102b03c4	2
穿戴触发_plus	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	5		IsWearPlusTrigger		0x102b1678	2
等级禁言	1	1	盘古2	panel	toggle	LABEL_ONLY	7		IsLevelMute;IsMailAntiSpamEnabled		0x102b1688	2
红名K值	""	0	盘古3	panel	value	IMPLEMENTED	3	GameSvr/Actors/TBaseObject.Base.cs;GameSvr/Players/TPlayObject.Message.cs	RedNameK		0x102b09c4	3
红毒_A	1	1	配置2	catalog-param	value	LABEL_ONLY	4		IsRedPoisonA		0x102b09ec	3
红毒_B	1	1	配置2	catalog-param	value	LABEL_ONLY	4		IsRedPoisonB		0x102b09f4	3
绿毒_A	1	1	配置2	catalog-param	value	LABEL_ONLY	4		IsGreenPoisonA		0x102b09dc	3
绿毒_B	10	1	配置2	catalog-param	value	LABEL_ONLY	4		GreenPoisonB		0x102b09e4	3
绿毒_最低	5	1	配置2	catalog-param	value	LABEL_ONLY	4		GreenPoisonMin		0x102b09fc	3
群毒	0	0	配置2	catalog	toggle	LABEL_ONLY	6		IsGroupPoison		0x102affd0	2
群毒值	0	0	配置2	catalog	toggle	LABEL_ONLY	8		IsGroupPoisonVal;IsGroupPoisonValEnabled		0x102b0044	2
脚本控制人物爆率	0	0	盘古3	panel	toggle	IMPLEMENTED	5	GameSvr/Plugins/YanshenScriptDropRate.cs	IsScriptDropRate;IsScriptDropRateEnabled	0x6df2cc 0x73d578 0x73dac5	0x102b0650	2
脚本控制头发外显	1	1	盘古1	panel	toggle	LABEL_ONLY	5		IsScriptHair;IsScriptHairEnabled	0x740f85	0x102b0538	2
自定义伤害	0	0	眼神2(第1页)	panel	toggle	SCRIPT_ONLY	12	GameSvr/Plugins/YanshenCommands.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	BounceSkill;IsCustomDmg;IsSelfDmg		0x102b1524	2
自定义伤害_plus	0	0	眼神2(第2页)	panel	toggle	IMPLEMENTED	18	GameSvr/Players/TPlayObject.NativeSocialSlots.cs;GameSvr/Plugins/YanshenCommands.cs;GameSvr/Plugins/YanshenPoisonKeys.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	CustomDamage;CustomDamage2;CustomDamageDelay;CustomDamageEffect;CustomDamageSuper;CustomDamageUndead;FindTargets;IsCustomDmgPlus;IsSelfDmgPlus		0x102b15b0	2
自定义元素	1	1	眼神2(第1页)	panel	toggle	SCRIPT_ONLY	23	GameSvr/Plugins/YanshenCommands.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	GetPis;GiveDataItem;GiveItemWithDesc;GiveItemYS_JP;GiveNewItem;GivePis;IsElements;UpdateBodyEquip		0x102b005c	2
自定义召唤怪物a	0	0	扩展/技能相关	fallback	toggle	LABEL_ONLY	3		IsCustomCall;IsCustomCallEnabled		0x102b0108	2
英雄修装备a	0	0	扩展/物品相关	fallback	toggle	LABEL_ONLY	3		IsHeroRepairEquip;RepairAllEquip		0x102b00d0	2
英雄倍攻和暴击	0	0	配置1	catalog	toggle	IMPLEMENTED	9	GameSvr/Plugins/YanshenTriggerDispatch.Wave2.cs;GameSvr/Plugins/YanshenTriggerDispatch.cs	IsHeroPowerCrit	0x76c816	0x102afdf8	2
英雄千分比免伤	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	6		IsHeroDmgReduction;IsHeroDmgReductionEnabled		0x102b02c4	2
英雄攻速移速	0	0	配置1	catalog	toggle	LABEL_ONLY	5		IsHeroSpeed;IsHeroSpeedEnabled	0x73da43	0x102afdd0	2
英雄施法速度	0	0	配置1	catalog	toggle	LABEL_ONLY	6		IsHeroCastSpeed	0x68dd60	0x102afe20	2
英雄物理攻击触发	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	5		IsHeroPhysTrigger;IsHeroPhysTriggerEnabled		0x102b15d4	2
英雄穿戴触发	0	0	配置1	catalog	toggle	IMPLEMENTED	7	GameSvr/Plugins/YanshenTriggerDispatch.cs	IsHeroWearTrigger;IsHeroWearTriggerEnabled	0x75ea31 0x75f08c	0x102afdc0	2
英雄自动开盾	0	0	眼神2(第1页)	panel	toggle	LABEL_ONLY	7		IsHeroAutoShield		0x102b0068	2
英雄读取极品	0	0	眼神2(第1页)	panel	toggle	SCRIPT_ONLY	7	GameSvr/Plugins/YanshenCommands.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsHeroReadExtreme;IsHeroReadExtremeEnabled		0x102b1568	2
英雄野蛮	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	5		IsHeroBarbarian;IsHeroBarbarianEnabled		0x102b032c	2
英雄魔法攻击触发	0	0	眼神2(第2页)	panel	toggle	LABEL_ONLY	5		IsHeroMagicTrigger;IsHeroMagicTriggerEnabled		0x102b15fc	2
获取沙城归属	0	0	眼神2(第1页)	panel	toggle	SCRIPT_ONLY	7	GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	IsGetCastle;IsGetCastleEnabled		0x102b1668	2
获取玩家对象函数	1	1	扩展/脚本相关	fallback	toggle	MISSING	0			0x646f40 0x647d24 0x736b28 0x736ef8	0x102b063c	2
行会显示	1	1	盘古1	catalog	toggle	IMPLEMENTED	8	GameSvr/Players/TPlayObject.Base.cs;GameSvr/Plugins/YanshenCommands.cs;GameSvr/ScriptSystem/PasEngine/PasApiBridge.Yanshen.cs	GetCreatureAttr;IsGuildShow	0x6c5bcb 0x6c5bf7	0x102b03f0	2
衣服属性几率_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorAttrChance_Acc	0x783ff2	0x102b0dc4	3
衣服属性几率_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorAttrChance_Atk	0x783f66	0x102b0ca4	3
衣服属性几率_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorAttrChance_Spd	0x783fcf	0x102b0d7c	3
衣服属性几率_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorAttrChance_Tao	0x783fac	0x102b0d34	3
衣服属性几率_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorAttrChance_Mgc	0x783f89	0x102b0cec	3
衣服最随机性_极品_值	"80"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorRandExtreme	0x7639f3	0x102b0ddc	3
衣服最高点数_准确_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorMaxPts_Acc	0x783fe6	0x102b0d94	3
衣服最高点数_攻击_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorMaxPts_Atk	0x783f5a	0x102b0c74	3
衣服最高点数_攻速_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorMaxPts_Spd	0x783fc3	0x102b0d4c	3
衣服最高点数_道术_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorMaxPts_Tao	0x783fa0	0x102b0d04	3
衣服最高点数_魔法_值	"10"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorMaxPts_Mgc	0x783f7d	0x102b0cbc	3
衣服点数几率_准确_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorPtsChance_Acc	0x783fe1	0x102b0dac	3
衣服点数几率_攻击_值	"5"	1	盘古4	equip-loop	value	IMPLEMENTED	1	GameSvr/Items/NativeItemPlus28.cs	ArmorPtsChance_Atk	0x783f55	0x102b0c8c	3
